fiscal_year,quarter,record_created,record_modified,user_modified,owner_org,log_date,log_activity
2022-2023,Q2,2022-10-31T11:38:47,2022-10-31T11:38:47,benoitm,cfia-acia,2025-04-12,D
2023-2024,Q2,2023-10-23T19:18:17,2023-10-23T19:18:17,benoitm,cfia-acia,2025-04-12,D
2023-2024,Q3,2024-02-28T15:04:13,2024-02-28T15:04:13,adina-popescu,cfia-acia,2025-04-12,D
2024-2025,Q1,2024-07-30T18:10:07,2024-07-30T18:10:07,adina-popescu,cfia-acia,2025-04-12,D
2024-2025,Q3,2025-01-29T16:38:29,2025-01-29T16:38:29,adina-popescu,cfia-acia,2025-04-12,D
2024-2025,Q1,2025-07-17T17:53:49,2025-07-17T17:53:49,avivienne,cfia-acia,2025-07-19,D
