year,contract_goods_number_of,contracts_goods_original_value,contracts_goods_amendment_value,contract_service_number_of,contracts_service_original_value,contracts_service_amendment_value,contract_construction_number_of,contracts_construction_original_value,contracts_construction_amendment_value,acquisition_card_transactions_number_of,acquisition_card_transactions_total_value,record_created,record_modified,user_modified,owner_org,log_date,log_activity
2020,317,773675.61,40803.48,486,535800.95,-110948.69,25,29011.59,4836.87,2550,1459752.83,2020-05-28T12:52:25.222088,2020-05-28T12:52:25.222088,swabeyc,ssc-spc,2020-09-23,D
2025,1,9842.41,9842.41,9,33486.83,28462.69,0,0.0,0.0,220,107060.5,2025-04-17T12:37:52,2025-04-17T12:37:52,fednor_pad_gc,fednor,2025-06-25,D
