ref_number,file_id_number,file_id_date,case_description_en,case_description_fr,findings_conclusions,recommendations_corrective_measures_en,recommendations_corrective_measures_fr,record_created,record_modified,user_modified,owner_org,log_date,log_activity
PSDPA 2026-1,PSDPA 2026-1,2026-06-24,"The Department of National Defence’s Senior Officer for Internal Disclosure (SOID) received a protected disclosure alleging wrongdoing under paragraphs 8(a), 8(b), 8(c), and 8(e) of the Public Servants Disclosure Protection Act (PSDPA). The investigation found that two managers did not have a system in place to ensure that paid hours of work corresponded to actual work performed during off-peak periods (or periods of reduced activity) resulting in gross mismanagement, a serious breach of the Code of Conduct, and a potential misuse of public funds. ","On a fait part à l’agent supérieur en matière de divulgation interne (ASDI) du ministère de la Défense nationale (MDN) d’une allégation d’inconduite aux termes des paragraphes 8a), 8b), 8c) et 8e) de la Loi sur la protection des fonctionnaires divulgateurs d’actes répréhensibles (LPFDAR). L’enquête a révélé que deux gestionnaires n’avaient pas adopté de système pour s’assurer que les heures de travail rémunérées correspondaient au travail réel effectué pendant les périodes creuses (ou les périodes d’activité réduite), ce qui entraînait une mauvaise gestion grave, une violation grave du Code de conduite, et une mauvaise utilisation possible des fonds publics. ","b,c,e","The SOID recommended that the Department take appropriate administrative measures in accordance with established human resources policies and procedures. It is further recommended that leadership strengthen oversight and accountability practices to ensure employees comply with the terms and conditions of their employment, including approved work arrangements, hours of work, and collective agreement requirements. ","L’ASDI a recommandé que le Ministère prenne des mesures administratives appropriées conformément aux politiques et aux procédures établies en matière de ressources humaines. Il est en outre recommandé que la direction renforce les pratiques de responsabilisation et de surveillance. Ces mesures visent à s’assurer que le personnel  respecte ses conditions d’emploi, notamment les ententes de travail approuvées, la durée du travail et les dispositions prévues par la convention collective. ",2026-07-08T18:31:44,2026-07-08T19:08:19,rs_svcsex_openouvert,dnd-mdn,2026-07-10,D
CAFDP 2026-1,CAFDP 2026-1,2026-06-23,"The Department of National Defence Senior Officer for Internal Disclosure received a disclosure of wrongdoing alleging misconduct under the Canadian Armed Forces Disclosure Process (CAF DP), namely a misuse of public property.   The investigation identified systemic issues in the unit’s management of public funds and adherence to policies governing the Automotive Resources International fuel card use. Multiple parties, from drivers to finance officers did not consistently follow the applicable policies. The investigation concluded that these systemic issues constituted a misuse of public property. ","L’agent supérieur en matière de divulgation interne du ministère de la Défense nationale a reçu une divulgation d’actes répréhensibles alléguant une inconduite, à savoir un usage abusif de biens publics, dans le cadre du Processus de divulgation des Forces armées canadiennes (PD FAC).   L’enquête a permis de cerner des problèmes systémiques dans la gestion des fonds publics par l’unité et dans le respect des politiques régissant l’utilisation des cartes d’essence d’Automotive Resources International. Un grand nombre d’intervenants, des chauffeurs jusqu’aux agents financiers, n’ont pas toujours respecté les politiques applicables. Selon la conclusion de l’enquête, ces problèmes systémiques constituaient une mauvaise utilisation des biens publics. ",b,"At present, the Commanding Officer has implemented corrective measures and oversight mechanisms to prevent further misuse of public property. The Department will clearly define and communicate fuel payment card accountabilities, responsibilities, authorities, and oversight, and strengthen control and monitoring activities to ensure compliance with established policies and procedures.","À ce jour, le commandant a mis en œuvre des mesures correctives et des mécanismes de surveillance afin d’empêcher toute autre mauvaise utilisation des biens publics. Le Ministère veillera à définir et à communiquer clairement les obligations, les responsabilités, les pouvoirs et les mécanismes de contrôle relatifs aux cartes de paiement pour le carburant. Il renforcera les activités de contrôle et de surveillance afin de garantir le respect des politiques et procédures en vigueur.",2026-07-08T18:41:57,2026-07-08T18:41:57,rs_svcsex_openouvert,dnd-mdn,2026-07-10,D
SIID-2020/21-001,SIID-2020/2021-003 (PSDPA),2022-04-22,"A protected disclosure was received under the Public Servants Disclosure Protection Act, alleging wrongdoing relating to a conflict of interest situation regarding the hiring of three “relatives” as defined under PSPC Code of Conduct by a Staffing Sub-Delegated Manager.
 
“Relatives” are defined in the PSPC Code of Conduct as persons who are related by blood, marriage or adoption, as well as persons whose relationship is otherwise legally recognized and of an immediate nature. Such relationships include, but are not limited to, an employee's parent, step-parent, foster parent, sibling, spouse, common-law partner, child, stepchild, ward, foster child, son-in-law, daughter-in-law, father-in-law, brother-in-law, sister-in-law, grandparent, grandchild, uncle, aunt, nephew, niece and cousin.

A “conflict of interest” refers to a situation, whether real, apparent or potential, in which an employee has private interests that could influence or appear to influence the performance of their official duties and responsibilities or in which the person employed uses their office for personal gain.
 
A “Staffing Sub-Delegated Manager” is an employee sub-delegated by PSPC’s Deputy Minister to make staffing appointments/decisions within PSPC and which must be in accordance with the Core Values of Merit and Non-Partisanship, as well as Guiding Values of Fairness, Transparency, Access and Representativeness.
 
Under PSPC's Code of Conduct, employees are required to observe and foster the highest standards of conduct, consistent with PSPC’s Statement of Values in support of our Mission and Vision.

As stated under the standards of conduct, employees are to adhere to the principle of merit, non-partisanship, fairness, transparency, access and representativeness in PSPC’s staffing processes, including departmental requirements on family and personal relationships.

Additionally, PSPC’s Policy on Staffing and Recruitment, requires that employees, sub-delegated for staffing decision, identify and disclose any potential, apparent or real conflict of interest that may be at play in these activities.

In addition, any given PSPC employee may not assist or be involved directly or indirectly in any business decision affecting or benefiting their “parents” or their “associates”. In these situations, PSPC employees must immediately recuse themselves from the situation and seek direction from PSPC’s Centre of Expertise for Values, Ethics and the Prevention of Harassment and Violence.
 
The investigation found that an employee of PSPC with sub-delegation for staffing appointments/decisions:
  
•	Placed himself/herself in a conflict of interest by promoting, participating, influencing and/or exercising staffing sub-delegation in processes leading to the hire of “parents” as casual and indeterminate employees.   

•	Failed to take steps to disclose, avoid and recuse himself/herself from the conflict of interest. 

•	Failed to comply with instructions issued to her/him by PSPC and which were designed to prevent and avoid any conflict of interest in staffing activities.
 
Conclusion and Corrective Actions Taken

The departmental investigation process found that the allegations of wrongdoing were founded, and did constitute breaches of the Values and Ethics Code for the Public Sector, the PSPC Code of Conduct and PSPC’s Guideline on conflict of interest arising from family and personal relationships and that they are inconsistent with the Core Values of Merit and Non-Partisanship, as well as Guiding Values of Fairness, Transparency, Access and Representativeness.

The importance of avoiding conflict of interest situation, including any potential or apparent conflict of interest, is a fundamental aspect of PSPC’s standard of conduct and the Values and Ethics Code for the Public Sector.
PSPC recognizes that avoiding and preventing situations that could give rise to a conflict of interest, or the appearance of a conflict of interest, is one of the primary means by which a public servant demonstrates integrity and maintains public confidence in the fairness and impartiality of the federal public sector.

Adhering to these requirements in staffing activities is also essential to achieve PSPC’s objectives in objectivity, fairness, transparency, accessibility and representativeness in resourcing activities.","Une divulgation protégée a été reçue en vertu de la Loi sur la protection des fonctionnaires divulgateurs d'actes répréhensibles, alléguant des actes répréhensibles liés à des situations de conflits d'intérêts concernant l’embauche par un gestionnaire subdélégué en dotation de trois « parents » tel que défini dans le Code de conduite de SPAC.
 
Les ""parents"" sont définis dans le Code de conduite de SPAC comme étant des personnes unies par les liens du sang, par le mariage ou par l'adoption, ainsi que des personnes dont les liens sont autrement reconnus par la loi ou de nature immédiate. Ce genre de relations comprend notamment les liens suivants : parent, beau-parent, parent adoptif, frère, sœur, époux, épouse, conjoint ou conjointe de fait, enfant, enfant issu d'un mariage antérieur du conjoint ou de la conjointe, enfant en tutelle, enfant en famille d'accueil, gendre, bru, beau-frère, belle-sœur, beau-père, belle-mère, grand-parent, petit-enfant, oncle, tante, neveu, nièce, cousin ou cousine d'un employé.

Un ""conflit d'intérêts"" désigne une situation potentielle apparente ou réelle, dans laquelle un employé a des intérêts privés qui pourraient influencer ou sembler influencer l'exercice de ses fonctions et de ses responsabilités officielles ou dans laquelle la personne employée utilise sa fonction à des fins personnelles.
 
Un « gestionnaire subdélégué en dotation » est un employé subdélégué par le sous-ministre de SPAC pour effectuer des nominations/décisions en matière de dotation de personnel au sein de SPAC et qui doivent être conformes aux valeurs fondamentales de mérite et d'impartialité politique, ainsi qu'aux valeurs directrices d’objectivité, d'équité, de transparence, d’accès et de représentativité.

En vertu du code de conduite de SPAC, les employés sont tenus d'observer et de favoriser les normes de conduite les plus élevées et d’agir conformément à l'énoncé de valeurs de SPAC à l'appui de notre mission et de notre vision.

Comme indiqué dans les normes de conduite, les employés doivent respecter le principe du mérite, d'impartialité, d'équité, de transparence, d'accès et de représentativité dans les processus de dotation de SPAC, y compris les exigences ministérielles en matière de relations familiales et personnelles.
 
De plus, la politique de SPAC sur la dotation et le recrutement exige que les employés subdélégués en matière de dotation identifient et divulguent tout conflit d'intérêts potentiels, apparents ou réels qui pourraient survenir au cours de ces processus.
 
De plus, les employés de SPAC ne peuvent pas aider ou être impliqués directement ou indirectement dans une décision professionnelle concernant ou pouvant bénéficier leurs « parents ». Dans ces situations, les employés de SPAC doivent immédiatement se retirer de la situation et demander avis et conseil au Centre d'expertise sur les valeurs et éthique, prévention du harcèlement et la violence de SPAC.
 
L'enquête a révélé qu'un employé de SPAC ayant une subdélégation pour les nominations/décisions en dotation:
  
•	s'est placé en conflit d'intérêts en promouvant, participant, influençant et/ou exerçant ses pouvoirs en matière de dotation dans des processus menant à l'embauche de « parents » en tant qu'employés occasionnels et indéterminés.

•	a omis de prendre des mesures pour divulguer, éviter et se récuser du conflit d'intérêts; et

•	a omis de se conformer aux instructions qui lui ont été émises par SPAC et qui visaient à prévenir et éviter tout conflit d'intérêts dans ses activités de dotation.

Conclusion et mesures correctives prises

Le processus d'enquête ministériel a conclu que les allégations d’actes répréhensibles étaient fondées et qu'elles constituaient des manquements au Code de valeurs et d'éthique du secteur public, au Code de conduite de SPAC et relativement à la Ligne directrice ministérielle sur les conflits d'intérêts inhérents aux relations familiales et personnelles et qu'elles sont incompatibles avec les valeurs fondamentales de mérite et d'impartialité politique, ainsi qu'avec les valeurs directrices d'équité, de transparence, d'accessibilité et de représentativité.

L'importance d'éviter les situations de conflit d'intérêts, y compris tout conflit d'intérêts potentiel ou apparent, est un aspect fondamental de la norme de conduite du SPAC et du Code de valeurs et d'éthique pour le secteur public.
 
SPAC reconnaît qu'éviter et prévenir les situations qui pourraient donner lieu à un conflit d'intérêts, ou à l'apparence d'un conflit d'intérêts est l'un des principaux moyens par lesquels un fonctionnaire fait preuve d'intégrité et maintient la confiance du public dans l'équité et l'impartialité du secteur public fédéral. Le respect de ces exigences dans les activités de dotation est également essentiel pour atteindre les objectifs de SPAC en matière d'équité, de transparence, d'accessibilité et de représentativité.
",e,"The employee failed in these fundamental requirements forming part of his/her terms and conditions of employment and as a result, disciplinary measure against the employee have been taken and as a result, the employee is no longer working for PSPC.","L'employé(e) a manqué à ces exigences fondamentales faisant partie de ses conditions d'emploi et, par conséquent, des mesures disciplinaires ont été prises contre l'employé(e) et, conséquemment, l'employé(e) ne travaille plus pour SPAC.",2023-01-11T14:58:14,2024-03-06T02:32:35,kalbert,pwgsc-tpsgc,2026-08-05,D
